time_stamp,RTL_ALT,chan4_raw,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
13:54:02,1500.0,1500.0,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.5,1.0,-0.0006596710009034723,0.001099122513551265,0.020093309693038464,0.0002289719122927636,0.00020226454944349825,0.0012927548959851265
13:54:04,1500.0,1500.0,AUTO,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,0.0,1.0,-1000.0,0.5,0.5,0.5,-1.7337315512122586e-05,0.0016377122956328094,0.0197646152228117,0.0003793897631112486,0.0002752783184405416,0.0012589946272782981
13:54:06,1500.0,1500.0,AUTO,-35.3632621,149.1652375,1187.5,0.0,2.5,-141.0,0.0,0.0,-1030.0,47.5,-4.5,0.5,0.01613596687093377,7.155639468692243e-05,0.018810195848345757,0.04734542593359947,-0.006075059995055199,0.0012787503655999899
13:54:08,1500.0,1500.0,AUTO,-35.36326095,149.16524420000002,4221.0,1.5,43.0,-147.0,5.0,-11.0,-1007.0,-47.0,-15.0,-50.5,-0.027277297340333462,0.01821348164230585,-0.06949476152658463,-0.04888526909053326,-0.016315516084432602,-0.05090085230767727
13:54:10,1500.0,1500.0,AUTO,-35.3632612,149.16524114999999,7295.0,-4.0,-58.5,-148.5,-7.5,14.0,-1002.5,65.0,12.5,0.5,-0.016903354320675135,-0.0015600612523485324,-0.09687354415655136,0.06493645161390305,0.011983802076429129,0.000329166476149112
13:54:12,1500.0,1843.0,AUTO,-35.363260999999994,149.1652305,10293.0,18.0,-26.5,-143.0,0.0,8.0,-1003.0,26.0,-23.0,755.5,0.013119413517415524,-0.033299507573246956,0.7952728271484375,0.025847102515399456,-0.024160916917026043,0.7559828758239746
13:54:14,1500.0,1500.0,AUTO,-35.36325825,149.16523325,13260.0,-6.0,50.0,-147.5,-10.0,2.5,-1013.5,52.5,24.5,433.5,0.025812003761529922,-0.04285035841166973,2.208112597465515,0.0524120032787323,0.024258527904748917,0.43402136862277985
13:54:16,1500.0,1500.0,AUTO,-35.36326225,149.1652388,16356.5,-19.0,-21.5,-149.0,1.5,-4.0,-997.0,21.5,16.5,-176.0,0.046040283516049385,0.060012394562363625,2.3051064014434814,0.02138915192335844,0.015954867005348206,-0.17599407583475113
13:54:18,1500.0,1500.0,AUTO,-35.36326625,149.16522675,19414.5,-23.0,-30.5,-151.5,8.5,-5.5,-1005.0,-64.0,-26.5,-20.5,-0.05281474627554417,-0.03953413479030132,2.186814546585083,-0.0652429535984993,-0.02746375184506178,-0.02142011560499668
13:54:20,1500.0,1500.0,AUTO,-35.36326415,149.16523590000003,22487.0,40.0,86.0,-149.5,-19.5,12.0,-1005.0,64.0,50.5,-3.0,-0.01864587003365159,-0.010198972886428237,2.15931499004364,0.06360622122883797,0.050096943974494934,-0.0035243547754362226
13:54:22,1500.0,1500.0,AUTO,-35.363258,149.16524594999998,25643.0,2.0,-35.5,-151.5,2.5,1.5,-993.0,29.0,9.5,-37.5,0.1015043668448925,0.052235228940844536,2.1567602157592773,0.02848645206540823,0.008943798020482063,-0.03700440237298608
13:54:24,1500.0,1072.0,AUTO,-35.36326355,149.16523354999998,28539.0,-30.5,-11.0,-145.5,9.0,-1.5,-1006.5,-40.5,28.5,-718.5,-0.007403380703181028,-0.07050153985619545,1.2289084792137146,-0.04191784933209419,0.027904830873012543,-0.7187523245811462
13:54:26,1500.0,1500.0,AUTO,-35.363263700000005,149.1652381,31516.0,19.0,16.0,-148.0,0.5,-8.0,-1004.5,-108.0,-130.5,-299.5,-0.02178162708878517,-0.02230094652622938,-0.12212326377630234,-0.10936753684654832,-0.1319879274815321,-0.3000076040625572
13:54:28,1500.0,1500.0,AUTO,-35.363253099999994,149.165234,34553.0,68.5,-22.5,-153.5,-17.5,-5.0,-1006.0,44.0,53.0,56.0,0.043376173824071884,0.015629399102181196,-0.08674125000834465,0.04326112009584904,0.05239440128207207,0.056654417887330055
13:54:30,1500.0,1500.0,AUTO,-35.363249749999994,149.1652368,37643.0,-60.0,20.5,-147.0,10.5,1.5,-1004.5,2.0,-44.0,33.0,-0.02511909231543541,0.09608146920800209,-0.06744853407144547,0.0010894592851400375,-0.04564845282584429,0.033292836509644985
13:54:32,1500.0,1500.0,AUTO,-35.363264150000006,149.16524114999999,40709.5,-47.5,17.5,-153.0,13.5,2.5,-1002.5,-54.0,-34.5,-7.5,-0.028188358061015606,-0.05206162482500076,0.018867825157940388,-0.05563969910144806,-0.036192779429256916,-0.007907225750386715
13:54:34,1500.0,1500.0,AUTO,-35.36326245,149.16523625,43816.5,46.5,-50.5,-151.0,-15.5,4.0,-1002.0,63.0,62.5,-14.5,-0.006686166510917246,-0.020991739816963673,-0.046465110033750534,0.062386102974414825,0.06174361705780029,-0.014492180082015693
13:54:36,1500.0,1401.0,AUTO,-35.3632602,149.1652307,46916.0,-70.0,20.0,-144.5,9.0,7.5,-995.5,113.5,-81.5,-206.5,0.03953901305794716,0.11683785542845726,-0.18566761910915375,0.11282956600189209,-0.08301407471299171,-0.20736753195524216
13:54:38,1500.0,1500.0,AUTO,-35.3632719,149.16524145,49639.0,43.5,-31.5,-86.5,-6.5,-3.0,-922.5,150.5,345.0,56.5,-0.07338552922010422,-0.21696434915065765,-0.4805608540773392,0.14928559213876724,0.344470277428627,0.056840937584638596
13:54:40,1500.0,1500.0,AUTO,-35.3632607,149.16523235,50284.5,33.0,7.5,3.0,-2.0,-15.0,-976.5,-612.0,-22.0,0.5,0.021695017348974943,0.05837796442210674,-0.4585232585668564,-0.6148798912763596,-0.023492887616157532,4.878779873251915e-05
13:54:42,1500.0,1500.0,AUTO,-35.36326,149.16524085,49993.5,24.0,49.0,3.5,7.5,-3.5,-1013.0,-150.5,-35.5,239.0,0.03694440145045519,-0.0528643149882555,-0.43813732266426086,-0.1530260220170021,-0.03727507498115301,0.2386113409884274
13:54:44,1500.0,1500.0,AUTO,-35.36324115,149.1652585,49944.0,204.0,119.0,0.5,-46.0,-47.5,-1003.5,-34.5,-58.0,30.0,0.022043985314667225,-0.17477666586637497,0.5933589339256287,-0.03462699055671692,-0.05997606925666332,0.02968828659504652
13:54:46,1500.0,1716.0,AUTO,-35.36318665,149.1653002,49906.5,397.5,255.5,0.5,-95.5,-58.0,-998.0,-93.0,-36.5,281.5,0.05484563857316971,-0.20953042060136795,0.6274605393409729,-0.0947493826970458,-0.03810789342969656,0.2815042012371123
13:54:48,1500.0,1716.0,AUTO,-35.3631012,149.1653698,49935.5,530.0,363.5,-6.0,-81.5,121.0,-997.5,17.5,5.5,710.5,-0.15981055051088333,-0.10108518972992897,2.0647528767585754,0.01638185791671276,0.004881209461018443,0.7100476622581482
13:54:56,1500.0,1500.0,AUTO,-35.36269485,149.1657115,49999.5,566.5,383.5,-0.5,0.5,155.5,-981.5,110.0,21.5,6.0,-0.1536795198917389,0.0023198249109555036,2.7397499084472656,0.10935509018599987,0.02089363132836297,0.004964680410921574
13:54:58,1500.0,1175.0,AUTO,-35.36259375,149.16579595000002,49972.0,568.5,377.0,-1.0,-113.5,94.5,-990.5,-79.5,-5.5,-707.0,-0.10774394124746323,-0.10694088041782379,1.866008460521698,-0.08082598634064198,-0.0072215464897453785,-0.7085017263889313
13:55:00,1500.0,1500.0,AUTO,-35.362493549999996,149.16587859999998,50060.0,523.0,356.5,-4.0,-110.5,-78.0,-976.5,218.5,27.0,-27.0,0.0874750018119812,-0.06018555350601673,0.5514133274555206,0.21753467246890068,0.026615658774971962,-0.028161875903606415
13:55:02,1500.0,1500.0,AUTO,-35.36241175,149.1659493,50072.0,371.0,268.5,4.0,-87.0,-55.5,-996.0,-214.0,16.5,-31.0,0.07264943793416023,0.01775276567786932,0.6115418076515198,-0.21711390838027,0.015755824744701385,-0.032480563037097454
13:55:04,1500.0,1500.0,AUTO,-35.362363450000004,149.1660071,49983.0,182.5,261.5,1.0,-45.0,-35.5,-1006.5,557.5,7.0,-8.0,0.12849778681993484,0.013824933674186468,0.6108702421188354,0.5561981201171875,0.006015785504132509,-0.009594768518581986
13:55:06,1500.0,1500.0,AUTO,-35.362347400000004,149.16607829999998,49925.5,32.5,376.5,0.0,-67.0,-60.5,-1005.0,54.5,-6.0,561.5,0.11598988994956017,-0.12308911606669426,1.3649965524673462,0.052388995885849,-0.007918055169284344,0.5609002411365509
13:55:08,1500.0,1500.0,AUTO,-35.3623494,149.1661836,49879.0,-17.0,557.5,-2.0,-110.5,-75.0,-1003.0,-11.5,11.0,8.0,0.06325950287282467,-0.1915978044271469,1.6170012950897217,-0.01207938976585865,0.00940551538951695,0.006877055391669273
13:55:10,1500.0,1594.0,AUTO,-35.3623542,149.16632325,49977.5,-39.0,662.0,-6.5,-133.0,-76.5,-990.0,-17.5,16.5,225.5,0.08989952132105827,-0.15287314355373383,1.6513128876686096,-0.018005633959546685,0.015042718965560198,0.22494134708540514
13:55:12,1500.0,1594.0,AUTO,-35.36236165,149.166472,50025.5,-54.0,668.0,3.0,-156.0,-3.5,-986.5,-9.5,-14.5,66.5,0.01719326199963689,-0.16511202603578568,2.0844236612319946,-0.010087176226079464,-0.017314364667981863,0.06570718996226788
13:55:14,1500.0,1500.0,AUTO,-35.36236945,149.1666302,49993.0,-51.0,680.5,-4.5,-154.5,-4.0,-998.5,41.5,51.5,-9.0,0.020859231241047382,-0.14228741824626923,2.1473474502563477,0.041135987266898155,0.05035843141376972,-0.01005508890375495
13:55:16,1500.0,1500.0,AUTO,-35.362376100000006,149.16676435,50104.5,-41.5,567.0,1.0,-133.5,-26.5,-976.5,11.5,35.0,61.0,0.0646839328110218,-0.05640264227986336,2.151476740837097,0.012235790491104126,0.033802540972828865,0.060463668778538704
13:55:18,1500.0,1500.0,AUTO,-35.3623815,149.16686675,50049.0,-25.0,334.5,4.5,-82.5,-6.0,-1000.5,-185.0,-15.5,-82.0,0.0749100111424923,0.024892065674066544,2.153658151626587,-0.18754711747169495,-0.017416201066225767,-0.08299081958830357
13:55:20,1500.0,1500.0,AUTO,-35.36239005,149.16691465,50018.5,-102.5,30.5,4.5,-11.5,-49.0,-1012.0,-277.0,33.5,11.0,0.17484558373689651,0.10149090364575386,2.166715383529663,-0.2765172906219959,0.03186703193932772,0.010237224400043488
13:55:22,1500.0,1515.0,AUTO,-35.3624174,149.16689465000002,49960.5,-227.5,-250.0,5.0,-16.5,-68.5,-1016.0,135.0,40.0,717.0,0.21028897911310196,-0.07749105617403984,-0.012099027633666992,0.1330845463089645,0.03797404281795025,0.7160138189792633
13:55:24,1500.0,1500.0,AUTO,-35.3624739,149.1668182,49935.0,-371.5,-421.0,4.5,-95.0,-61.5,-1000.5,22.5,40.5,-1.0,0.07076903432607651,-0.21327964961528778,-2.3289676904678345,0.02095368504524231,0.03840236738324165,-0.0025360541767440736
13:55:26,1500.0,1500.0,AUTO,-35.36255015,149.1667154,49990.0,-457.5,-510.5,-3.0,-128.0,-83.0,-992.5,-19.0,37.5,-4.5,0.0791424885392189,-0.16414935886859894,-2.3277668952941895,-0.02151825651526451,0.035893406718969345,-0.006415983196347952
13:55:28,1500.0,1500.0,AUTO,-35.3626339,149.1666029,50072.0,-466.0,-510.0,2.0,-131.0,-80.0,-982.0,28.0,-9.5,1.5,0.0821828693151474,-0.13156141340732574,-2.324569821357727,0.02638301160186529,-0.012918733060359955,-0.00023684394545853138
13:55:30,1500.0,1500.0,AUTO,-35.362717950000004,149.16649089999999,50016.5,-475.0,-507.5,1.5,-131.5,-82.5,-988.5,26.0,5.5,9.0,0.07933035120368004,-0.13529440760612488,-2.330004930496216,0.024640378542244434,0.0027803252451121807,0.007668948965147138
13:55:32,1500.0,1542.0,AUTO,-35.3628025,149.16637989999998,50009.5,-475.5,-502.0,1.0,-134.5,-79.0,-993.0,-21.5,6.0,33.0,0.07678082585334778,-0.13571907579898834,-2.3263548612594604,-0.023198967101052403,0.003613061970099807,0.03205308597534895
13:55:34,1500.0,1542.0,AUTO,-35.36288705,149.16627015,50020.0,-470.5,-499.5,1.0,-160.5,-44.5,-994.0,4.5,19.0,148.5,0.04224308207631111,-0.15253321826457977,-2.0352290868759155,0.002472624182701111,0.017573240911588073,0.14742165058851242
13:55:36,1500.0,1500.0,AUTO,-35.36297125,149.16616015,50008.5,-469.0,-496.0,0.0,-148.5,-30.0,-987.0,12.0,-2.0,-1.5,0.02209359873086214,-0.1550402268767357,-1.930564522743225,0.01005663350224495,-0.004724535159766674,-0.0028768007177859545
13:55:38,1500.0,1500.0,AUTO,-35.363055599999996,149.16605085,50000.0,-468.5,-496.0,-0.5,-153.0,-25.5,-992.0,20.5,3.0,4.0,0.03161940537393093,-0.15350263565778732,-1.931339979171753,0.018642199225723743,0.0002963258884847164,0.002516339998692274
13:55:40,1500.0,1500.0,AUTO,-35.3631393,149.16594205,49987.0,-467.0,-498.0,-0.5,-154.5,-33.5,-989.5,15.0,11.5,4.5,0.024658527225255966,-0.15666379779577255,-1.9316223859786987,0.013372981688007712,0.009665433084592223,0.003149887779727578
13:55:42,1500.0,1500.0,AUTO,-35.3632206,149.16583624999998,50086.5,-415.0,-446.5,-3.0,-129.0,-28.5,-970.0,-303.0,36.5,-0.5,0.05318167991936207,-0.07184126228094101,-1.9276393055915833,-0.3055894747376442,0.03466058615595102,-0.0023704543709754944
13:55:44,1500.0,1814.0,AUTO,-35.3632835,149.16575255,50070.5,-268.0,-296.5,5.0,-77.0,93.0,-1002.5,808.0,63.5,701.0,0.07583208382129669,-0.03999458998441696,-1.0133552253246307,0.8059921264648438,0.061810219660401344,0.6995372772216797
13:55:46,1500.0,1500.0,AUTO,-35.3633181,149.1657057,50001.0,-122.5,-127.5,1.5,21.5,8.0,-1008.5,-474.5,-16.0,-3.5,0.020426957868039608,-0.08356671407818794,0.24926884472370148,-0.4753665179014206,-0.018398057320155203,-0.005653617903590202
13:55:48,1500.0,1500.0,AUTO,-35.36332975,149.1656908,49991.0,-21.5,-18.5,0.0,4.0,25.5,-1000.5,75.5,13.5,0.0,0.016005851794034243,-0.03322504833340645,0.21649246662855148,0.07193875312805176,0.01182460249401629,-0.0019231457263231277
13:55:50,1500.0,1500.0,AUTO,-35.363331450000004,149.16569015,50002.5,4.0,7.0,0.0,0.5,-5.0,-996.5,250.0,-2.5,-4.5,0.005745353642851114,-0.0035722170723602176,0.21602007001638412,0.2495687697082758,-0.005093962885439396,-0.0068170419544912875
13:55:52,1500.0,1500.0,AUTO,-35.36333315,149.165689,50005.5,-6.0,-10.5,0.0,2.0,8.0,-997.0,-211.0,-31.5,-8.0,-0.00474837939691497,-0.01648157462477684,0.21559734642505646,-0.21442458033561707,-0.0343987625092268,-0.010652950964868069
13:55:54,1500.0,1500.0,AUTO,-35.3633329,149.1656897,50006.0,23.5,12.5,0.0,-2.0,-26.5,-1002.0,-189.0,62.0,9.5,0.0005081235431134701,-0.003013158682733774,0.21576109528541565,-0.1895078793168068,0.06026354059576988,0.006987749598920345
